Billtoentity,Sum of Invoiced Storage Price
user-zyxue,$0.26
user-zongjie,$2.34
user-zkhan,$0.26
user-zjzhang,$3.12
user-zhouyuwen,$2.60
user-zhilianh,$2.34
user-zhijuanqiu,$1.82
user-zhenwang,$0.26
user-zhengwen,$1.56
user-zeitouni,$0.26
user-zdeng1,$10.92
user-zchiang,$2.08
user-zbent,$0.78
user-zankla,$4.94
user-zajtat,$10.92
user-zackzwiesler,$1.82
user-zachary_chiang,$0.78
user-yumansw,$0.26
user-yujizhang,$10.92
user-yuhua,$4.68
user-yuchen.bai,$10.92
user-yu.min,$3.64
user-youyuxing188,$4.68
user-yosr,$7.28
user-ymen_sgh,$0.26
user-ymen_polaris,$0.26
user-ymen_demo,$0.99
user-ymen,$150.99
user-yk.nexus1,$4.68
user-yitaitang,$3.38
user-yingzhu,$1.61
user-yiko,$10.92
user-yhg926,$10.92
user-yhadid,$0.26
user-yeshalundberg4btnrh,$1.04
user-yedavalli,$10.92
user-ybzhao,$10.92
user-ybz90,$4.68
user-ybfanbo,$3.12
user-yangshubo,$0.26
user-yangjianghua,$2.08
user-yanch,$10.92
user-yadav_rahul,$3.15
user-xyliu,$10.92
user-xx.xiang,$2.86
user-xuxilin,$0.26
user-xtmgah,$10.92
user-xianglong,$10.92
user-wwencode,$11.96
user-wubin_bioinfo_2014,$0.52
user-wtulipa,$39.00
user-wpartlo,$0.78
user-workmam,$0.25
user-wengkhong,$6.24
user-wencey,$0.26
user-warrenac,$10.92
user-wangmx,$1.04
user-wangjl,$1.82
user-wanghailun,$10.92
user-wandlessgroup,$6.76
user-vs9arm,$0.26
user-voltimerito,$0.26
user-voltimer,$0.52
user-viveklabp53,$6.50
user-vivekbioinf,$1.56
user-vivek,$10.92
user-violicic,$23.92
user-vince_natera,$1.04
user-vince_intermountain,$23.79
user-vince_ghi,$12.22
user-vince,$105.30
user-vignesh,$0.26
user-vera,$10.92
user-venkat.boffin,$0.26
user-vdkumar56,$10.92
user-vasioukhin,$5.72
user-varsharao,$2.34
user-vadavid99,$10.92
user-ureyes,$0.52
user-ulintzpj,$0.78
user-tyn1990,$1.04
user-tyatsun,$1.04
user-tslinux,$1.30
user-toufik,$0.52
user-toroc,$10.92
user-torenre1,$11.70
user-tonywang0613,$1.82
user-tonnny97,$0.52
user-tom_ashton,$2.08
user-tom,$0.52
